Название вакансии,Оклад,URL,Название компании,Метро,Описание
"Software Engineer (Python 3, Devops)",,https://hh.ru/vacancy/35855048?query=python, Parallels,,"Take active part in building new services from idea to delivery to production helping make our products even better. -  High level of automation with Terraform, Ansible, Consul. - Heavily tested codebase. - Experience writing web applications on any language. - "
Python разработчик (Middle Backend Software Engineer),80 000-120 000 руб.,https://hh.ru/vacancy/35991906?query=python,ООО PERX,, Хорошее знание команд Linux. Опыт работы на Python от 2-х лет. Хорошее знание базовых библиотек. Опыт работы с одним...
Middle Python developer,,https://hh.ru/vacancy/35242229?query=python, Руформ,,"Разработка серверной части видеохостинга. Написание high-load сервисов на Go и Python. Проектирование устойчивой масштабируемой архитектуры. Участие в оптимизации и... Опыт разработки высоконагруженных web-проектов на python. Желателен опыт работы с Django, Django Rest Framework, Celery. Опыт работы с реляционными..."
Ведущий разработчик Python/программист Python,70 000-120 000 руб.,https://hh.ru/vacancy/35987355?query=python,ООО Инфософт Сервис,,"Разработка серверной части действующего продукта - сервис электронной торговой площадки. Участие в разработке новых сервисов компании. Уверенное знание Python (опыт коммерческой разработки от 3х лет). Опыт работы и понимание асинхронной архитектуры (фреймворки asyncio, aiohttp, tornado). "
Middle Python разработчик (GO),,https://hh.ru/vacancy/35994587?query=python,ООО РД Технологии,,"Работал с платежами, высоконагруженными веб-приложениями, чувствительными данными. Твой основной язык Python но ты в перспективе хочешь писать на Go. Опыт асинхронной / многопоточной разработки. Желание влиять на инфраструктуру..."
Разработчик Python,,https://hh.ru/vacancy/35261838?query=python,ООО Сбербанк-Телеком,,"Разработка нового функционала серверных платформы. Рефакторинг и оптимизация существующего кода. Разработка программных тестов. Работа с командой DevOps. Уверенное знание python3. Опыт работы с sqlalchemy (с чем-нибудь из списка: postgresql, mysql, mssql или oracle). "
Разработчик Python,,https://hh.ru/vacancy/36040124?query=python, Group-IB,,"Мы создаем масштабное решение для детектирования нерекламного продвижения брендов в интернете, обнаружения Product Placement и дальнейшей работы с выявленным контентом.  Опыт программирования на Python, понимание концепций языка, знание Python 3. Знание PostgreSQL, Django Rest, Git, Linux. Опыт работы программистом на..."
Старший Python-разработчик,,https://hh.ru/vacancy/36040198?query=python, Сбербанк для экспертов,,"Написание инфраструктурной части применения наших моделей. Разработка интерфейсов для использования наших продуктов (Django, Flask, или PyQt, или что-то еще).  Хороший алгоритмический базис (знание основных алгоритмов и структур данных, умение ими пользоваться). Хорошее владение Python и желание им пользоваться. "
Разработчик Python (back-end),,https://hh.ru/vacancy/35900863?query=python, Леруа Мерлен. Центральный офис,,"Back-end разработка сервисов компании. Проектирование и реализация API разрабатываемых систем (интернет-магазин, B2B портал, мобильные приложения).  Опыт проектирования restapi, rpc. Уверенный пользователь Linux. Знания Python (корутины, asyncio). Знание SQL, Postgresql, ORM, AMQP, RabbitMQ, Apigee. "
Senior Python разработчик,,https://hh.ru/vacancy/34682916?query=python, QIWI,,"Улучшать и адаптировать проект под задачи международного развития в части требований бизнеса, отказоустойчивости, масштабируемости и т.д.. Разрабатывать сложные системы... Опыт промышленной разработки на Python 2 или 3, знание экосистемы языка, pythonic code. Хорошее знание общих вопросов программирования: паттерны проектирования..."
Python developer,,https://hh.ru/vacancy/36034720?query=python, DigitalHR,,"Разработка подсистем, отвечающих за легкое масштабирование. Разработка системы управления камерами по onvif, psia и прочим протоколам. Работа с модулем, построенным... Свободно владеет Python 3, Git, Linux, Docker. Разработчик с суммарным опытом работы от 3-х лет. Навыки использования PostgreSQL, flask..."
Разработчик Python / Python developer,,https://hh.ru/vacancy/36034653?query=python, Dentsu Aegis Network Russia,,"Поддержание и развитие существующего внутри Группы DAN инструмента для работы с видео-рекламой. Рефакторинг существующего кода, код-ревью младших сотрудников... Высшее математическое образование. Опыт работы на аналогичной позиции. Обязательное знание Python: - объектно-ориентированный подход в программировании. - основные библиотеки (Pandas, Numpy..."
"Full Stack Web Developer (Senior) Vue, Python",от 220 000 руб.,https://hh.ru/vacancy/35829528?query=python, SPN,,"...контента в замкнутых сетях. Программирование и покрытие кода тестами. HTML, JS, SASS, Vue, Vuex, Python, Golang, NodeJS, PostgreSQL, Docker, Kubernetes. Отличные знание Vue (предпочтительно) / React / Angular. Опыт программирования на Python3 / Golang. PostgreSQL / MySQL / Mongodb. Опыт работы c redis / rabbitmq. "
Разработчик Python (в Управление перспективных технологий),,https://hh.ru/vacancy/34852666?query=python," ВСК, САО",,Участие в полном цикле разработки ПО (на вашем любимом языке python). Участие в разработке архитектурных решений для компонентов системы.  Участие в проектах по разработке ПО - не менее 2-х лет. Хорошее знание языка программирования Python (обязательно)+знание одного из...
Senior Python developer,,https://hh.ru/vacancy/35834855?query=python,ООО Профцентр СПЕЦИАЛИСТ,,"Разработка и тестирование логики по интеграции backend и сторонних систем. Интеграция Django с другими системами. Отличное знание и владение Python, Django, PostgreSQL. Опыт по созданию моделей в БД. Умение профилировать и оптимизировать код на Python..."
Senior Python developer,,https://hh.ru/vacancy/35079557?query=python," «РОСБАНК, Societe Generale Group», с опытом работы",,"Разработка микросервисов, API и приложений -- полный цикл разработки. Разработка интеграций с различными внешними системами. Разработка и поддержка внутреннего портала самообслуживания... Отличные знания Python 3.6 - 3.7. Фреймворки : Django, Django-rest, Flask. Unit / smoke testing. Построение микросервисной архитектуры. "
